T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,7,0,25,,,,25
,27,0,23,,,,23
,48,0,23,,,,23
,69,0,24,,,,24
,90,0,22,,,,22
,112,0,22,,,,22
,134,0,21,,,,21
,156,1,22,,,,23
,177,0,23,,,,23
,198,0,23,,,,23
,219,0,23,,,,23
,240,0,23,,,,23
,262,0,23,,,,23
,283,0,22,,,,22
,304,0,23,,,,23
,325,0,23,,,,23
,347,0,23,,,,23
,368,1,22,,,,23
,389,0,22,,,,22
,411,0,22,,,,22
,433,0,23,,,,23
,454,0,22,,,,22
,476,0,23,,,,23
,498,0,22,,,,22
,520,1,22,,,,23
,541,0,22,,,,22
,563,1,22,,,,23
,585,0,22,,,,22
,607,0,23,,,,23
,629,0,23,,,,23
,651,0,23,,,,23
,673,1,22,,,,23
,695,1,22,,,,23
,717,0,23,,,,23
,739,0,25,,,,25
,761,0,23,,,,23
,783,1,23,,,,24
,805,0,22,,,,22
,827,0,22,,,,22
,849,1,22,,,,23
,871,0,23,,,,23
,893,0,23,,,,23
,915,0,23,,,,23
,937,0,23,,,,23
,959,0,23,,,,23
,982,0,23,,,,23
,1005,0,23,,,,23
,1027,0,23,,,,23
,1050,1,22,,,,23
,1073,0,23,,,,23
,1096,0,22,,,,22
,1119,0,23,,,,23
,1142,0,23,,,,23
,1165,0,22,,,,22
,1188,1,22,,,,23
,1211,0,23,,,,23
,1234,0,23,,,,23
,1257,0,23,,,,23
,1280,0,23,,,,23
,1303,0,23,,,,23
,1326,1,22,,,,23
,1349,0,23,,,,23
,1371,1,22,,,,23
,1395,0,23,,,,23
,1418,0,22,,,,22
,1440,0,23,,,,23
,1463,0,23,,,,23
,1486,0,23,,,,23
,1509,1,22,,,,23
,1532,0,23,,,,23
,1555,0,24,,,,24
,1578,0,23,,,,23
,1601,0,22,,,,22
,1624,0,22,,,,22
,1646,0,22,,,,22
,1669,0,22,,,,22
,1692,0,23,,,,23
,1716,0,22,,,,22
,1739,0,23,,,,23
,1762,0,23,,,,23
,1785,0,24,,,,24
,1807,0,23,,,,23
,1830,0,23,,,,23
,1854,0,24,,,,24
,1877,1,23,,,,24
,1900,0,23,,,,23
,1923,0,24,,,,24
,1945,0,22,,,,22
,1968,0,23,,,,23
,1991,0,22,,,,22
,2014,0,22,,,,22
,2037,0,23,,,,23
,2060,0,22,,,,22
,2083,0,23,,,,23
,2106,0,22,,,,22
,2130,0,22,,,,22
,2153,0,23,,,,23
,2176,0,23,,,,23
,2199,0,23,,,,23
,2222,0,23,,,,23
,2245,1,22,,,,23
,2268,0,23,,,,23
,2291,0,23,,,,23
,2314,0,23,,,,23
,2337,1,22,,,,23
,2360,0,22,,,,22
,2383,0,23,,,,23
,2406,0,23,,,,23
,2430,1,23,,,,24
,2453,0,22,,,,22
,2476,0,22,,,,22
,2499,0,22,,,,22
,2522,0,23,,,,23
,2545,0,23,,,,23
,2568,0,23,,,,23
,2591,0,23,,,,23
,2614,0,24,,,,24
,2638,0,23,,,,23
,2660,0,22,,,,22
,2683,0,23,,,,23
,2707,0,23,,,,23
,2730,0,22,,,,22
,2753,1,22,,,,23
,2776,0,23,,,,23
,2799,0,23,,,,23
,2822,0,22,,,,22
,2845,0,22,,,,22
,2868,0,23,,,,23
,2891,0,23,,,,23
,2914,0,22,,,,22
,2937,0,22,,,,22
,2960,0,23,,,,23
,2984,0,23,,,,23
,3007,0,23,,,,23
,3030,0,22,,,,22
,3053,0,22,,,,22
,3076,0,24,,,,24
,3099,0,22,,,,22
,3122,1,23,,,,24
,3145,0,23,,,,23
,3168,0,22,,,,22
,3191,0,22,,,,22
,3214,0,23,,,,23
,3237,0,22,,,,22
,3260,0,23,,,,23
,3284,0,23,,,,23
,3307,0,23,,,,23
,3330,0,22,,,,22
,3353,0,23,,,,23
,3376,0,23,,,,23
,3399,0,23,,,,23
,3422,1,22,,,,23
,3445,0,23,,,,23
,3468,0,22,,,,22
,3491,0,22,,,,22
,3514,0,23,,,,23
,3537,0,22,,,,22
,3560,0,22,,,,22
,3583,0,23,,,,23
,3607,0,23,,,,23
,3630,0,23,,,,23
,3653,0,22,,,,22
,3676,0,22,,,,22
,3699,0,23,,,,23
,3722,0,23,,,,23
,3745,1,22,,,,23
,3768,1,22,,,,23
,3791,0,23,,,,23
,3814,1,22,,,,23
,3837,0,23,,,,23
,3860,0,23,,,,23
,3883,0,23,,,,23
,3906,0,22,,,,22
,3929,0,23,,,,23
,3952,0,23,,,,23
,3975,0,23,,,,23
,3998,0,23,,,,23
,4021,0,22,,,,22
,4044,1,22,,,,23
,4068,0,23,,,,23
,4091,0,23,,,,23
,4114,0,23,,,,23
,4137,0,23,,,,23
,4160,0,22,,,,22
,4183,0,22,,,,22
,4206,0,24,,,,24
,4229,0,23,,,,23
,4252,0,23,,,,23
,4275,0,23,,,,23
,4298,0,22,,,,22
,4321,0,22,,,,22
,4345,0,23,,,,23
,4368,0,23,,,,23
,4391,0,23,,,,23
,4414,0,22,,,,22
,4437,0,23,,,,23
,4460,0,23,,,,23
,4483,1,22,,,,23
,4506,1,22,,,,23
,4529,0,22,,,,22
,4552,0,23,,,,23
,4575,0,23,,,,23
,4598,0,23,,,,23
,4621,0,22,,,,22
,4644,1,22,,,,23
,4668,1,22,,,,23
,4690,0,23,,,,23
,4713,0,22,,,,22
,4736,0,23,,,,23
,4759,0,24,,,,24
,4782,0,23,,,,23
,4805,0,23,,,,23
,4828,0,23,,,,23
,4851,1,23,,,,24
,4874,0,23,,,,23
,4898,0,22,,,,22
,4921,0,23,,,,23
,4944,0,22,,,,22
,4967,0,23,,,,23
,4990,0,23,,,,23
,5013,0,23,,,,23
,5036,0,23,,,,23
,5059,0,22,,,,22
,5082,0,22,,,,22
,5105,1,22,,,,23
,5128,0,23,,,,23
,5151,0,24,,,,24
,5174,0,22,,,,22
,5198,0,23,,,,23
,5221,0,23,,,,23
,5244,0,23,,,,23
,5267,0,22,,,,22
,5290,0,22,,,,22
,5313,0,22,,,,22
,5336,0,23,,,,23
,5359,0,23,,,,23
,5382,0,23,,,,23
,5405,1,22,,,,23
,5428,1,22,,,,23
,5451,0,22,,,,22
,5474,0,23,,,,23
,5497,0,24,,,,24
,5520,0,23,,,,23
,5543,0,23,,,,23
,5566,1,22,,,,23
,5589,1,22,,,,23
,5612,0,23,,,,23
,5635,0,23,,,,23
,5658,0,23,,,,23
,5681,0,22,,,,22
,5704,0,23,,,,23
,5727,0,22,,,,22
,5750,0,22,,,,22
,5774,0,23,,,,23
,5797,0,22,,,,22
,5820,0,23,,,,23
,5843,0,23,,,,23
,5866,0,23,,,,23
,5889,1,23,,,,24
,5912,1,22,,,,23
,5935,0,22,,,,22
,5958,0,22,,,,22
,5981,0,22,,,,22
,6004,0,23,,,,23
,6027,0,22,,,,22
,6050,0,23,,,,23
,6073,0,22,,,,22
,6096,0,22,,,,22
,6119,0,22,,,,22
,6143,0,22,,,,22
,6166,0,22,,,,22
,6189,0,23,,,,23
,6211,0,22,,,,22
,6234,0,23,,,,23
,6258,1,22,,,,23
,6280,0,23,,,,23
,6303,0,23,,,,23
,6326,0,23,,,,23
,6349,0,23,,,,23
,6373,0,23,,,,23
,6396,1,23,,,,24
,6419,0,22,,,,22
,6442,0,22,,,,22
,6465,0,23,,,,23
,6488,0,22,,,,22
,6511,0,22,,,,22
,6534,0,23,,,,23
,6557,0,23,,,,23
,6580,0,23,,,,23
,6603,1,22,,,,23
,6626,0,23,,,,23
,6649,0,23,,,,23
,6672,0,22,,,,22
,6695,0,22,,,,22
,6719,0,22,,,,22
,6742,0,23,,,,23
,6765,0,23,,,,23
,6788,0,22,,,,22
,6811,0,22,,,,22
,6834,0,22,,,,22
,6838,0,23,,,,23
